Instance,Heuristic,HeuristicObjVal,RefConfig,RefModelObjVal,RefLB,GapToModelRefConfig,GapToLBRefConfig
r_15_30_30_30_7.txt,ils,303.3062311398146,VI1+VI4,303.3062311398146,302.0213872574195,0.0,0.004254148668286128
r_15_30_30_30_8.txt,lns,300.2820279666346,VI1+VI4,300.2820279666346,300.2820279666346,0.0,0.0
r_15_30_30_30_8.txt,ils,300.2820279666346,VI1+VI4,300.2820279666346,300.2820279666346,0.0,0.0
r_15_30_30_30_9.txt,lns,329.16933343132894,VI1+VI4,314.5183463229421,312.2187828472325,0.04658229727986511,0.05429061771850635
r_15_30_30_30_9.txt,ils,314.5183463229421,VI1+VI4,314.5183463229421,312.2187828472325,0.0,0.007365231056053274
r_15_30_30_70_1.txt,lns,323.21237237200717,VI1+VI4,326.5391741601447,326.5391741601447,-0.010188063336333274,-0.010188063336333274
r_15_30_30_70_1.txt,ils,323.21237237200717,VI1+VI4,326.5391741601447,326.5391741601447,-0.010188063336333274,-0.010188063336333274
r_15_30_30_70_10.txt,lns,267.6485023786281,VI1+VI4,269.3960076988142,269.3960076988142,-0.006486752848022094,-0.006486752848022094
r_15_30_30_70_10.txt,ils,267.6485023786281,VI1+VI4,269.3960076988142,269.3960076988142,-0.006486752848022094,-0.006486752848022094
r_15_30_30_70_2.txt,lns,307.0630782040612,VI1+VI4,307.0630782040612,306.2805392241058,0.0,0.002554974540458217
r_15_30_30_70_2.txt,ils,307.0630782040612,VI1+VI4,307.0630782040612,306.2805392241058,0.0,0.002554974540458217
r_15_30_30_70_3.txt,lns,300.29175352947766,VI1+VI4,300.29175352947766,297.65668781195257,0.0,0.008852701200484439
r_15_30_30_70_3.txt,ils,300.29175352947766,VI1+VI4,300.29175352947766,297.65668781195257,0.0,0.008852701200484439
r_15_30_30_70_4.txt,lns,289.87912192614965,VI1+VI4,293.79533197675084,292.7275210045441,-0.013329721831356731,-0.009730547604884133
r_15_30_30_70_4.txt,ils,289.87912192614965,VI1+VI4,293.79533197675084,292.7275210045441,-0.013329721831356731,-0.009730547604884133
r_15_30_30_70_5.txt,lns,347.78851166394605,VI1+VI4,347.7885116639461,347.7885116639461,-1.6344248574758415e-16,-1.6344248574758415e-16
r_15_30_30_70_5.txt,ils,347.7885116639461,VI1+VI4,347.7885116639461,347.7885116639461,0.0,0.0
r_15_30_30_70_6.txt,lns,315.9647784226684,VI1+VI4,317.8274889974149,315.8708862527191,-0.005860759812256589,0.000297248572235236
r_15_30_30_70_6.txt,ils,315.9647784226684,VI1+VI4,317.8274889974149,315.8708862527191,-0.005860759812256589,0.000297248572235236
r_15_30_30_70_7.txt,lns,303.3062311398146,VI1+VI4,305.36990531340035,305.36990531340035,-0.006757948762068774,-0.006757948762068774
r_15_30_30_70_7.txt,ils,303.3062311398146,VI1+VI4,305.36990531340035,305.36990531340035,-0.006757948762068774,-0.006757948762068774
r_15_30_30_70_8.txt,lns,300.2820279666346,VI1+VI4,322.0725126938509,322.0725126938509,-0.0676570768022339,-0.0676570768022339
r_15_30_30_70_8.txt,ils,300.2820279666346,VI1+VI4,322.0725126938509,322.0725126938509,-0.0676570768022339,-0.0676570768022339
r_15_30_30_70_9.txt,lns,314.5183463229421,VI1+VI4,314.5183463229421,311.99364793068355,0.0,0.008092146776076184
r_15_30_30_70_9.txt,ils,314.5183463229421,VI1+VI4,314.5183463229421,311.99364793068355,0.0,0.008092146776076184
r_15_70_30_30_1.txt,lns,450.2865263505674,VI1+VI4,450.2865263505674,450.2865263505674,0.0,0.0
r_15_70_30_30_1.txt,ils,450.2865263505674,VI1+VI4,450.2865263505674,450.2865263505674,0.0,0.0
r_15_70_30_30_10.txt,lns,388.05400053254374,VI1+VI4,387.63711140412533,383.9683153738649,0.0010754623748699401,0.010640683085271335
r_15_70_30_30_10.txt,ils,387.6371105876357,VI1+VI4,387.63711140412533,383.9683153738649,-2.10632479672869e-09,0.009554942600403087
r_15_70_30_30_2.txt,lns,439.9621832166634,VI1+VI4,445.32856775458663,442.2001857661013,-0.01205039363403375,-0.005061061983862856
r_15_70_30_30_2.txt,ils,439.96219126565677,VI1+VI4,445.32856775458663,442.2001857661013,-0.012050375559753405,-0.005061043781714512
r_15_70_30_30_3.txt,lns,431.0890429271918,VI1+VI4,431.0890429271918,427.22096324916726,0.0,0.009054049334579583
r_15_70_30_30_3.txt,ils,431.0890391554493,VI1+VI4,431.0890429271918,427.22096324916726,-8.749335142851946e-09,0.009054040506027528
r_15_70_30_30_4.txt,lns,420.2579375555367,VI1+VI4,420.2579375555367,420.2579375555367,0.0,0.0
r_15_70_30_30_4.txt,ils,420.2579375555367,VI1+VI4,420.2579375555367,420.2579375555367,0.0,0.0
r_15_70_30_30_5.txt,lns,488.33503838154,VI1+VI4,488.33503838154,485.7473325195446,0.0,0.005327267261712206
r_15_70_30_30_5.txt,ils,488.3350351118226,VI1+VI4,488.33503838154,485.7473325195446,-6.69564367414627e-09,0.005327260530399049
r_15_70_30_30_6.txt,lns,450.6996377961862,VI1+VI4,455.194336596428,450.9156605246865,-0.009874241480791444,-0.00047907568401793553
r_15_70_30_30_6.txt,ils,450.6996377961862,VI1+VI4,455.194336596428,450.9156605246865,-0.009874241480791444,-0.00047907568401793553
r_15_70_30_30_7.txt,lns,413.5235306439186,VI1+VI4,413.5235306439186,413.5235306439186,0.0,0.0
r_15_70_30_30_7.txt,ils,413.5235306439186,VI1+VI4,413.5235306439186,413.5235306439186,0.0,0.0
r_15_70_30_30_8.txt,lns,443.85951426477607,VI1+VI4,443.8595142647762,439.4350389247229,-2.561324790118124e-16,0.010068553820559345
r_15_70_30_30_8.txt,ils,458.1841614333311,VI1+VI4,443.8595142647762,439.4350389247229,0.0322729303038209,0.042666425860091686
r_15_70_30_30_9.txt,lns,478.46628249266496,VI1+VI4,472.8706250811019,468.90500069372666,0.011833379184006983,0.02039065862977096
r_15_70_30_30_9.txt,ils,478.46628249266496,VI1+VI4,472.8706250811019,468.90500069372666,0.011833379184006983,0.02039065862977096
r_15_70_30_70_1.txt,lns,450.2865263505674,VI1+VI4,450.28652635056744,450.28652635056744,-1.262383294510415e-16,-1.262383294510415e-16
r_15_70_30_70_1.txt,ils,450.2865263505674,VI1+VI4,450.28652635056744,450.28652635056744,-1.262383294510415e-16,-1.262383294510415e-16
r_15_70_30_70_10.txt,lns,387.6371114041253,VI1+VI4,387.6371114041253,387.6371114041253,0.0,0.0
r_15_70_30_70_10.txt,ils,387.6371114041253,VI1+VI4,387.6371114041253,387.6371114041253,0.0,0.0
r_15_70_30_70_2.txt,lns,439.96219126565677,VI1+VI4,439.96219126565677,437.2427589974297,0.0,0.006219502123860367
r_15_70_30_70_2.txt,ils,439.96219126565677,VI1+VI4,439.96219126565677,437.2427589974297,0.0,0.006219502123860367
r_15_70_30_70_3.txt,lns,431.0890429271918,VI1+VI4,431.0890429271918,427.61548541478385,0.0,0.008123086349500775
r_15_70_30_70_3.txt,ils,431.0890429271918,VI1+VI4,431.0890429271918,427.61548541478385,0.0,0.008123086349500775
